"dms_orig","dms_dest","sctg2","dms_mode","thousand tons in 2019","million dollars in 2019","million ton-miles in 2019","thousand tons in 2024","million dollars in 2024","million ton-miles in 2024","thousand tons in 2030","thousand tons in 2030_low","thousand tons in 2030_high","million dollars in 2030","million dollars in 2030_low","million dollars in 2030_high","million ton-miles in 2030"
"219-Rest of KY","362-Buffalo NY  CFS Area","15-Coal","1-Truck","17.7257","5.3231","10.6328","12.4141","3.728","7.4466","5.9506","5.8909","6.3375","1.787","1.769","1.9032","3.5695"
"219-Rest of KY","362-Buffalo NY  CFS Area","15-Coal","2-Rail","3.7195","1.5483","2.4122","2.605","1.0844","1.6894","1.2487","1.2361","1.3298","0.5198","0.5146","0.5536","0.8098"
"219-Rest of KY","372-Greensboro--Winston-Salem--High Point NC","14-Metallic ores","1-Truck","3.9855","1.9947","1.6685","3.8199","1.9118","1.5991","2.182","2.1657","2.3109","1.092","1.0839","1.1565","0.9135"
"219-Rest of KY","373-Raleigh-Durham NC","15-Coal","2-Rail","526.6703","29.3034","310.1464","368.852","20.5225","217.2101","236.9481","235.8341","250.9158","13.1835","13.1216","13.9607","139.5343"
"219-Rest of KY","379-Rest of NC","14-Metallic ores","1-Truck","4.0994","4.3763","1.9836","3.9291","4.1945","1.9011","2.7597","2.743","2.9221","2.9462","2.9283","3.1195","1.3353"
"219-Rest of KY","379-Rest of NC","15-Coal","1-Truck","6.212","0.8876","1.9896","4.3505","0.6217","1.3934","1.909","1.8975","2.025","0.2728","0.2711","0.2894","0.6114"
"219-Rest of KY","391-Cincinnati OH-KY-IN (OH Part)","14-Metallic ores","1-Truck","1.8405","2.1518","0.3372","1.764","2.0624","0.3232","0.6499","0.6437","0.7016","0.7598","0.7526","0.8203","0.1191"
"219-Rest of KY","391-Cincinnati OH-KY-IN (OH Part)","15-Coal","1-Truck","0.3768","0.0157","0.0817","0.2639","0.011","0.0572","0.1505","0.149","0.1642","0.0063","0.0062","0.0068","0.0326"
"219-Rest of KY","391-Cincinnati OH-KY-IN (OH Part)","15-Coal","2-Rail","0.8192","0.024","0.2246","0.5737","0.0168","0.1573","0.3271","0.3238","0.357","0.0096","0.0095","0.0105","0.0897"
"219-Rest of KY","391-Cincinnati OH-KY-IN (OH Part)","15-Coal","3-Water","1248.336","54.9602","490.7337","874.2685","38.4912","343.6839","498.5301","493.4593","544.0875","21.9487","21.7254","23.9544","195.9773"
"219-Rest of KY","392-Cleveland OH","14-Metallic ores","1-Truck","14.9451","6.0595","5.8607","14.3241","5.8077","5.6172","12.56","12.4517","13.5552","5.0925","5.0486","5.4959","4.9254"
"219-Rest of KY","392-Cleveland OH","15-Coal","3-Water","872.2872","35.8756","1558.4428","610.9038","25.1254","1091.4509","415.5345","411.6196","453.4495","17.0902","16.9292","18.6496","742.4008"
"219-Rest of KY","393-Columbus OH","14-Metallic ores","1-Truck","23.9848","11.2416","6.5396","22.9881","10.7744","6.2678","17.7857","17.643","19.3156","8.3361","8.2692","9.0532","4.8494"
"219-Rest of KY","399-Rest of OH","14-Metallic ores","1-Truck","36.9822","14.9784","11.5382","35.4454","14.356","11.0587","17.4894","17.3419","18.9892","7.0835","7.0237","7.6909","5.4566"
"219-Rest of KY","399-Rest of OH","15-Coal","1-Truck","273.1143","48.8285","84.4789","191.2748","34.1969","59.1645","126.3448","125.2155","137.9444","22.5884","22.3865","24.6623","39.0806"
"219-Rest of KY","421-Philadelphia PA-NJ-DE-MD (PA Part)","14-Metallic ores","1-Truck","0.1098","0.022","0.0734","0.1052","0.0211","0.0703","0.0568","0.0562","0.0616","0.0114","0.0113","0.0124","0.038"
"219-Rest of KY","422-Pittsburgh PA-OH-WV (PA Part)","14-Metallic ores","1-Truck","2.9915","2.9825","1.3158","2.8672","2.8586","1.2611","2.6949","2.6633","2.9335","2.6868","2.6552","2.9247","1.1853"
"219-Rest of KY","422-Pittsburgh PA-OH-WV (PA Part)","15-Coal","2-Rail","485.0457","33.6978","294.5766","339.7003","23.6001","206.3059","205.369","202.793","225.0419","14.2677","14.0887","15.6344","124.7241"
"219-Rest of KY","423-New York NY-NJ-CT-PA (PA Part)","14-Metallic ores","1-Truck","0.0231","0.0002","0.0157","0.0222","0.0002","0.015","0.0174","0.0172","0.019","0.0002","0.0002","0.0002","0.0118"
"219-Rest of KY","429-Rest of PA","14-Metallic ores","1-Truck","5.0074","29.9633","2.8815","4.7993","28.7182","2.7618","2.7129","2.6792","2.9688","16.2333","16.0319","17.7643","1.5611"
"219-Rest of KY","429-Rest of PA","15-Coal","2-Rail","0.3818","0.5191","0.2767","0.2674","0.3636","0.1938","0.1324","0.1307","0.1452","0.18","0.1777","0.1975","0.0959"
"219-Rest of KY","451-Charleston SC","15-Coal","2-Rail","2768.5798","157.835","1714.9897","1938.9668","110.5393","1201.088","1270.0023","1267.9178","1327.3966","72.402","72.2832","75.674","786.6997"
"219-Rest of KY","452-Greenville SC","14-Metallic ores","1-Truck","0.0721","0.0136","0.0276","0.0691","0.0131","0.0264","0.0362","0.0362","0.0378","0.0069","0.0068","0.0072","0.0138"
"219-Rest of KY","452-Greenville SC","15-Coal","1-Truck","4.6171","0.0589","1.4414","3.2336","0.0413","1.0095","1.9732","1.9705","2.0635","0.0252","0.0252","0.0263","0.616"
"219-Rest of KY","459-Rest of SC","15-Coal","1-Truck","2.2513","0.0364","0.9291","1.5767","0.0255","0.6507","1.0428","1.042","1.0908","0.0168","0.0168","0.0176","0.4304"
"219-Rest of KY","459-Rest of SC","15-Coal","2-Rail","6490.1687","281.1771","3533.6151","4545.3708","196.9216","2474.7571","3006.303","3004.1092","3144.6631","130.2437","130.1487","136.238","1636.8015"
"219-Rest of KY","473-Knoxville TN","14-Metallic ores","1-Truck","0.067","0.0231","0.0146","0.0642","0.0221","0.014","0.0305","0.0301","0.0326","0.0105","0.0104","0.0112","0.0066"
"219-Rest of KY","473-Knoxville TN","15-Coal","1-Truck","1727.5787","84.286","260.8072","1209.9047","59.0295","182.6556","972.5789","958.5782","1040.4924","47.4507","46.7676","50.7641","146.8272"
"219-Rest of KY","473-Knoxville TN","15-Coal","2-Rail","659.0767","34.0983","160.9345","461.5825","23.8806","112.71","371.0419","365.7006","396.9511","19.1964","18.92","20.5368","90.6017"
"219-Rest of KY","479-Rest of TN","15-Coal","1-Truck","1.6054","0.0391","0.3265","1.1243","0.0274","0.2286","0.8564","0.8452","0.9166","0.0208","0.0206","0.0223","0.1742"
"219-Rest of KY","479-Rest of TN","15-Coal","2-Rail","3439.7923","154.3948","1154.1356","2409.0485","108.1299","808.2955","1834.9928","1811.0484","1964.0245","82.3635","81.2888","88.1551","615.6856"
"219-Rest of KY","479-Rest of TN","15-Coal","3-Water","499.2773","17.3518","344.6918","349.6674","12.1523","241.4039","266.3447","262.8692","285.0733","9.2565","9.1357","9.9074","183.8794"
"219-Rest of KY","484-Dallas-Fort Worth TX-OK (TX Part)","14-Metallic ores","1-Truck","0.2019","0.9954","0.1597","0.1935","0.954","0.153","0.1117","0.0999","0.1228","0.5508","0.4926","0.6054","0.0884"
"219-Rest of KY","486-Houston TX","14-Metallic ores","1-Truck","1.999","2.9901","1.8201","1.9159","2.8658","1.7445","0.9573","0.864","1.0482","1.4319","1.2923","1.5678","0.8716"
"219-Rest of KY","489-Rest of TX","14-Metallic ores","1-Truck","0.9939","1.0063","0.8718","0.9526","0.9645","0.8355","0.756","0.6704","0.8371","0.7654","0.6787","0.8475","0.6631"
"219-Rest of KY","511-Richmond VA","15-Coal","2-Rail","1938.2998","124.1696","1204.624","1357.4826","86.9618","843.6549","1035.0206","1024.4552","1117.3341","66.3045","65.6277","71.5776","643.2496"
"219-Rest of KY","512-Virginia Beach-Norfolk VA-NC (VA Part)","15-Coal","2-Rail","2760.0216","141.9616","1856.0737","1932.9731","99.4224","1299.8958","1225.3433","1214.9432","1321.4857","63.0255","62.4906","67.9706","824.0252"
"219-Rest of KY","519-Rest of VA","15-Coal","1-Truck","1563.9117","63.0313","252.6187","1095.281","44.1438","176.9208","606.0878","600.3114","654.6374","24.4275","24.1947","26.3843","97.9014"
"219-Rest of KY","519-Rest of VA","15-Coal","2-Rail","24.9905","2.3069","7.2568","17.502","1.6156","5.0823","9.685","9.5927","10.4608","0.894","0.8855","0.9656","2.8124"
"219-Rest of KY","531-Seattle WA","14-Metallic ores","1-Truck","0.4376","2.0774","1.0607","0.4194","1.991","1.0167","0.2538","0.2466","0.2674","1.2047","1.1708","1.2695","0.6152"
"219-Rest of KY","540-West Virginia","14-Metallic ores","1-Truck","1.5516","0.1142","0.4695","1.4871","0.1094","0.45","1.7172","1.6896","1.9023","0.1263","0.1243","0.14","0.5196"
"219-Rest of KY","540-West Virginia","15-Coal","1-Truck","328.961","13.3082","58.296","230.3869","9.3204","40.8274","150.2461","147.8251","166.6425","6.0783","5.9803","6.7416","26.6255"
"219-Rest of KY","551-Milwaukee WI","14-Metallic ores","1-Truck","2.9011","3.1229","1.4765","2.7805","2.9931","1.4152","1.6079","1.5895","1.7018","1.7308","1.7111","1.8319","0.8183"
"219-Rest of KY","559-Rest of WI","14-Metallic ores","1-Truck","0.0054","0.8797","0.0033","0.0051","0.8432","0.0032","0.0028","0.0027","0.0029","0.4545","0.4496","0.4827","0.0017"
"219-Rest of KY","559-Rest of WI","15-Coal","2-Rail","6.7768","0.7642","5.1886","4.7461","0.5352","3.6338","4.2873","4.2397","4.5593","0.4834","0.4781","0.5141","3.2825"
"221-Baton Rouge LA","011-Birmingham AL","14-Metallic ores","1-Truck","0.9227","0.011","0.3915","0.8844","0.0106","0.3753","1.0285","1.02","1.1467","0.0123","0.0122","0.0137","0.4365"
"221-Baton Rouge LA","050-Arkansas","14-Metallic ores","1-Truck","0.1611","0.0018","0.0726","0.1544","0.0017","0.0696","0.4833","0.4652","0.5678","0.0053","0.0051","0.0062","0.2177"
"221-Baton Rouge LA","201-Kansas City MO-KS (KS Part)","14-Metallic ores","1-Truck","0.4775","0.005","0.3995","0.4576","0.0048","0.3829","0.3853","0.3639","0.4481","0.0041","0.0038","0.0047","0.3223"
"221-Baton Rouge LA","221-Baton Rouge LA","14-Metallic ores","1-Truck","59.9508","0.9771","2.139","57.4595","0.9365","2.0501","61.9668","60.2034","72.9773","1.01","0.9813","1.1895","2.2109"
"221-Baton Rouge LA","280-Mississippi","14-Metallic ores","1-Truck","0.3706","0.0039","0.0879","0.3552","0.0037","0.0843","0.3227","0.3146","0.3626","0.0034","0.0033","0.0038","0.0765"
"221-Baton Rouge LA","484-Dallas-Fort Worth TX-OK (TX Part)","14-Metallic ores","1-Truck","0.1097","0.0014","0.0519","0.1052","0.0013","0.0498","0.1267","0.1134","0.1453","0.0016","0.0014","0.0018","0.06"
"223-New Orleans LA-MS (LA Part)","219-Rest of KY","14-Metallic ores","2-Rail","0.0006","0.0762","0.0004","0.0006","0.0731","0.0004","0.0007","0.0007","0.0008","0.0881","0.0851","0.0996","0.0005"
"229-Rest of LA","182-Indianapolis IN","14-Metallic ores","1-Truck","3.5823","0.8777","3.0496","3.4334","0.8413","2.9229","4.0298","4.0029","4.4811","0.9874","0.9808","1.098","3.4306"
"229-Rest of LA","222-Lake Charles LA","14-Metallic ores","1-Truck","1.9772","6.0551","0.2889","1.8951","5.8035","0.2769","1.6212","1.5758","1.9187","4.9648","4.8256","5.8757","0.2369"
"229-Rest of LA","229-Rest of LA","14-Metallic ores","1-Truck","0.9968","10.736","0.1331","0.9553","10.2899","0.1275","1.0979","1.0631","1.3068","11.8259","11.4511","14.075","0.1466"
"229-Rest of LA","229-Rest of LA","15-Coal","1-Truck","6357.9697","175.064","138.6829","3034.7582","83.5608","66.1955","4279.2158","4144.7357","5087.6518","117.8264","114.1235","140.0863","93.3402"
"229-Rest of LA","300-Montana","14-Metallic ores","1-Truck","0.8218","5.9957","1.4782","0.7877","5.7465","1.4168","0.9097","0.8895","1.0761","6.637","6.4893","7.8509","1.6363"
