"dms_orig","dms_dest","sctg2","dms_mode","thousand tons in 2019","million dollars in 2019","million ton-miles in 2019","thousand tons in 2024","million dollars in 2024","million ton-miles in 2024","thousand tons in 2030","thousand tons in 2030_low","thousand tons in 2030_high","million dollars in 2030","million dollars in 2030_low","million dollars in 2030_high","million ton-miles in 2030"
"363-New York NY-NJ-CT-PA (NY Part)","341-New York NY-NJ-CT-PA (NJ Part)","14-Metallic ores","1-Truck","0.1856","7.311","0.0101","0.1779","7.0072","0.0097","0.2073","0.2063","0.2149","8.162","8.1233","8.4615","0.0113"
"363-New York NY-NJ-CT-PA (NY Part)","363-New York NY-NJ-CT-PA (NY Part)","14-Metallic ores","1-Truck","0.0034","0.0003","0.0002","0.0033","0.0003","0.0002","0.0032","0.0032","0.0034","0.0003","0.0003","0.0003","0.0002"
"363-New York NY-NJ-CT-PA (NY Part)","421-Philadelphia PA-NJ-DE-MD (PA Part)","14-Metallic ores","1-Truck","0.8615","46.4152","0.1135","0.8257","44.4864","0.1087","0.9064","0.8959","0.9608","48.8343","48.2695","51.7643","0.1194"
"363-New York NY-NJ-CT-PA (NY Part)","422-Pittsburgh PA-OH-WV (PA Part)","14-Metallic ores","1-Truck","10.7687","13.3597","4.1558","10.3212","12.8045","3.9831","16.8504","16.6527","17.9264","20.9046","20.6593","22.2395","6.5028"
"363-New York NY-NJ-CT-PA (NY Part)","540-West Virginia","14-Metallic ores","1-Truck","0.6015","25.0554","0.2913","0.5765","24.0142","0.2792","1.0003","0.9842","1.0829","41.6678","40.9983","45.11","0.4844"
"364-Rochester NY","364-Rochester NY","14-Metallic ores","1-Truck","0.0094","0.2972","0.0003","0.009","0.2849","0.0003","0.0052","0.0052","0.0055","0.1665","0.1646","0.174","0.0002"
"364-Rochester NY","421-Philadelphia PA-NJ-DE-MD (PA Part)","14-Metallic ores","1-Truck","0.2563","33.3527","0.0798","0.2456","31.9667","0.0765","0.1438","0.1422","0.1533","18.7184","18.5019","19.9465","0.0448"
"364-Rochester NY","422-Pittsburgh PA-OH-WV (PA Part)","14-Metallic ores","1-Truck","10.3914","44.2752","2.9505","9.9596","42.4353","2.8279","10.1467","10.0277","10.8518","43.2327","42.7255","46.237","2.8811"
"369-Rest of NY","091-Hartford CT","14-Metallic ores","1-Truck","0.4061","0.2708","0.1057","0.3893","0.2595","0.1013","0.0683","0.0673","0.0704","0.0455","0.0449","0.0469","0.0178"
"369-Rest of NY","131-Atlanta GA","14-Metallic ores","1-Truck","0.7934","1.4669","0.7526","0.7604","1.406","0.7213","0.1148","0.1136","0.1211","0.2122","0.2101","0.2238","0.1089"
"369-Rest of NY","171-Chicago IL-IN-WI (IL Part)","14-Metallic ores","1-Truck","0.0001","0.0007","0.0001","0.0001","0.0007","0.0001","0","0","0","0.0002","0.0002","0.0002","0"
"369-Rest of NY","251-Boston MA-RI-NH-CT (MA Part)","14-Metallic ores","1-Truck","6.1271","2.994","1.9105","5.8725","2.8696","1.8311","1.4127","1.3986","1.4395","0.6903","0.6834","0.7034","0.4405"
"369-Rest of NY","261-Detroit MI","14-Metallic ores","1-Truck","0.4598","0.8138","0.231","0.4406","0.78","0.2214","0.1539","0.1522","0.1598","0.2724","0.2694","0.2828","0.0773"
"369-Rest of NY","271-Minneapolis-St. Paul MN-WI (MN Part)","14-Metallic ores","1-Truck","0.2939","2.6207","0.3409","0.2817","2.5118","0.3267","0.071","0.0699","0.0739","0.6335","0.6237","0.6593","0.0824"
"369-Rest of NY","292-St. Louis MO-IL (MO Part)","14-Metallic ores","1-Truck","0.1507","0.7007","0.1448","0.1444","0.6715","0.1388","0.029","0.0286","0.0305","0.1351","0.1331","0.1417","0.0279"
"369-Rest of NY","339-Rest of NH","14-Metallic ores","1-Truck","0.0047","0.9716","0.0014","0.0045","0.9312","0.0013","0.0007","0.0007","0.0007","0.1449","0.1434","0.1481","0.0002"
"369-Rest of NY","361-Albany NY  CFS Area","14-Metallic ores","1-Truck","3.0061","0.9955","0.4449","2.8812","0.9542","0.4264","0.5079","0.5027","0.5289","0.1682","0.1665","0.1752","0.0752"
"369-Rest of NY","363-New York NY-NJ-CT-PA (NY Part)","14-Metallic ores","1-Truck","0.0243","0.601","0.0058","0.0233","0.5761","0.0055","0.0042","0.0042","0.0044","0.1041","0.1031","0.1078","0.001"
"369-Rest of NY","364-Rochester NY","14-Metallic ores","1-Truck","2.2842","2.9598","0.2982","2.1893","2.8368","0.2858","0.437","0.4322","0.4551","0.5662","0.5601","0.5897","0.057"
"369-Rest of NY","369-Rest of NY","14-Metallic ores","1-Truck","4.9893","8.0047","0.6327","4.782","7.6721","0.6064","0.9854","0.9758","1.0225","1.5809","1.5655","1.6404","0.125"
"369-Rest of NY","371-Charlotte NC-SC (NC Part)","14-Metallic ores","1-Truck","5.9619","7.2796","4.2791","5.7142","6.9771","4.1013","1.9395","1.9249","2.0098","2.3682","2.3503","2.454","1.3921"
"369-Rest of NY","421-Philadelphia PA-NJ-DE-MD (PA Part)","14-Metallic ores","1-Truck","0.1068","2.7011","0.0268","0.1023","2.5888","0.0257","0.0205","0.0202","0.0217","0.5179","0.5119","0.5498","0.0051"
"369-Rest of NY","422-Pittsburgh PA-OH-WV (PA Part)","14-Metallic ores","1-Truck","6.6686","1.6559","2.3953","6.3915","1.5871","2.2958","2.2245","2.1984","2.3704","0.5524","0.5459","0.5886","0.799"
"369-Rest of NY","429-Rest of PA","14-Metallic ores","1-Truck","2.4899","0.728","0.5784","2.3864","0.6978","0.5543","0.4995","0.4933","0.5351","0.1461","0.1442","0.1565","0.116"
"369-Rest of NY","459-Rest of SC","14-Metallic ores","1-Truck","0.8324","0.4423","0.6781","0.7978","0.4239","0.6499","0.1736","0.1735","0.1776","0.0923","0.0922","0.0944","0.1414"
"369-Rest of NY","473-Knoxville TN","14-Metallic ores","1-Truck","0.0075","0.0294","0.0059","0.0072","0.0282","0.0056","0.0013","0.0012","0.0013","0.005","0.0049","0.0052","0.001"
"369-Rest of NY","500-Vermont","14-Metallic ores","1-Truck","1.3522","0.4835","0.3279","1.296","0.4634","0.3143","0.2136","0.2134","0.2198","0.0764","0.0763","0.0786","0.0518"
"369-Rest of NY","551-Milwaukee WI","14-Metallic ores","1-Truck","0.0436","0.2865","0.035","0.0418","0.2746","0.0335","0.009","0.0088","0.0093","0.0588","0.0581","0.0609","0.0072"
"371-Charlotte NC-SC (NC Part)","371-Charlotte NC-SC (NC Part)","14-Metallic ores","1-Truck","0.1743","33.6373","0.0068","0.1671","32.2395","0.0065","0.4161","0.413","0.4306","80.2937","79.6868","83.0896","0.0163"
"371-Charlotte NC-SC (NC Part)","411-Portland OR-WA (OR Part)","14-Metallic ores","1-Truck","0.0643","12.6137","0.1791","0.0616","12.0895","0.1717","0.0896","0.087","0.0925","17.59","17.0804","18.1492","0.2498"
"373-Raleigh-Durham NC","379-Rest of NC","14-Metallic ores","1-Truck","0.0242","4.625","0.0035","0.0232","4.4328","0.0033","0.0331","0.0329","0.0342","6.3294","6.2911","6.5468","0.0048"
"380-North Dakota","011-Birmingham AL","15-Coal","1-Truck","0.7847","0.0365","1.2717","0.6551","0.0305","1.0616","0.4875","0.4834","0.5433","0.0227","0.0225","0.0253","0.79"
"380-North Dakota","050-Arkansas","15-Coal","1-Truck","0.4348","0.0101","0.5458","0.3629","0.0085","0.4556","0.3263","0.3142","0.3831","0.0076","0.0073","0.0089","0.4097"
"380-North Dakota","065-Fresno CA","15-Coal","1-Truck","22.2094","4.5594","37.9842","18.5394","3.806","31.7075","10.6898","10.4385","12.6909","2.1945","2.1429","2.6053","18.2826"
"380-North Dakota","190-Iowa","15-Coal","1-Truck","1.3525","0.0366","1.0517","1.129","0.0306","0.8779","0.8948","0.8858","0.985","0.0242","0.024","0.0267","0.6957"
"380-North Dakota","209-Rest of KS","15-Coal","1-Truck","0.4438","0.1867","0.4122","0.3705","0.1559","0.3441","0.2691","0.2558","0.3124","0.1132","0.1076","0.1314","0.2499"
"380-North Dakota","300-Montana","15-Coal","1-Truck","0.0075","0.0002","0.003","0.0062","0.0002","0.0025","0.0039","0.0038","0.0046","0.0001","0.0001","0.0001","0.0016"
"380-North Dakota","364-Rochester NY","14-Metallic ores","1-Truck","0.3529","73.6526","0.5131","0.3382","70.5919","0.4918","0.3705","0.3664","0.4109","77.3219","76.4798","85.753","0.5387"
"380-North Dakota","380-North Dakota","15-Coal","2-Rail","771.8243","20.7863","64.744","644.2832","17.3514","54.0453","408.7946","404.7066","480.7309","11.0094","10.8993","12.9468","34.2915"
"380-North Dakota","411-Portland OR-WA (OR Part)","15-Coal","1-Truck","0.3482","0.0279","0.4626","0.2906","0.0233","0.3862","0.1357","0.1313","0.1497","0.0109","0.0105","0.012","0.1803"
"380-North Dakota","486-Houston TX","15-Coal","1-Truck","0.0183","0.0006","0.0274","0.0153","0.0005","0.0229","0.0119","0.0106","0.0137","0.0004","0.0004","0.0005","0.0178"
"380-North Dakota","559-Rest of WI","15-Coal","1-Truck","2.557","0.3293","1.8404","2.1345","0.2749","1.5363","1.8832","1.8623","2.0849","0.2425","0.2398","0.2685","1.3554"
"391-Cincinnati OH-KY-IN (OH Part)","061-Los Angeles CA","14-Metallic ores","2-Rail","0.0039","0.4801","0.0093","0.0038","0.4602","0.0089","0.0055","0.0053","0.0061","0.6699","0.6555","0.7532","0.013"
"391-Cincinnati OH-KY-IN (OH Part)","181-Chicago IL-IN-WI (IN Part)","14-Metallic ores","1-Truck","0.0026","0.3418","0.0007","0.0025","0.3276","0.0007","0.0031","0.003","0.0032","0.4042","0.4006","0.4222","0.0009"
"391-Cincinnati OH-KY-IN (OH Part)","190-Iowa","14-Metallic ores","1-Truck","0.002","0.3102","0.0011","0.0019","0.2973","0.0011","0.0024","0.0024","0.0025","0.3699","0.3662","0.3896","0.0014"
"391-Cincinnati OH-KY-IN (OH Part)","269-Rest of MI","14-Metallic ores","1-Truck","0.0027","0.4071","0.001","0.0026","0.3902","0.0009","0.0042","0.0041","0.0045","0.6301","0.6206","0.6722","0.0015"
"391-Cincinnati OH-KY-IN (OH Part)","292-St. Louis MO-IL (MO Part)","14-Metallic ores","1-Truck","0.001","0.169","0.0004","0.001","0.162","0.0004","0.0008","0.0008","0.0009","0.1321","0.1303","0.1412","0.0003"
"391-Cincinnati OH-KY-IN (OH Part)","392-Cleveland OH","14-Metallic ores","1-Truck","0.0032","0.4014","0.0007","0.003","0.3847","0.0007","0.004","0.004","0.0043","0.5066","0.5022","0.545","0.0009"
"391-Cincinnati OH-KY-IN (OH Part)","399-Rest of OH","14-Metallic ores","1-Truck","0.0041","0.544","0.0007","0.004","0.5214","0.0007","0.0029","0.0029","0.0032","0.3863","0.3831","0.4182","0.0005"
"391-Cincinnati OH-KY-IN (OH Part)","429-Rest of PA","14-Metallic ores","1-Truck","0.0036","0.542","0.0016","0.0034","0.5195","0.0016","0.0029","0.0029","0.0032","0.441","0.4355","0.4811","0.0013"
"391-Cincinnati OH-KY-IN (OH Part)","479-Rest of TN","14-Metallic ores","1-Truck","0.0017","0.2488","0.0006","0.0016","0.2384","0.0005","0.002","0.002","0.0021","0.2941","0.2904","0.3131","0.0007"
"392-Cleveland OH","064-San Francisco CA","14-Metallic ores","1-Truck","0.0091","0.4041","0.0229","0.0088","0.3873","0.0219","0.0146","0.0143","0.0165","0.6438","0.6323","0.7294","0.0364"
"392-Cleveland OH","092-New York NY-NJ-CT-PA (CT Part)","14-Metallic ores","1-Truck","1.1403","4.7373","0.6126","1.0929","4.5404","0.5872","0.9312","0.9187","0.9775","3.8686","3.8168","4.0611","0.5003"
"392-Cleveland OH","171-Chicago IL-IN-WI (IL Part)","14-Metallic ores","1-Truck","3.8695","0.081","1.5067","3.7087","0.0776","1.4441","6.4321","6.3283","6.8697","0.1346","0.1324","0.1437","2.5045"
"392-Cleveland OH","182-Indianapolis IN","14-Metallic ores","1-Truck","0.3939","0.6034","0.1244","0.3776","0.5784","0.1193","0.6423","0.638","0.679","0.9839","0.9773","1.04","0.2029"
"392-Cleveland OH","189-Rest of IN","14-Metallic ores","1-Truck","2.1289","1.8962","0.7119","2.0405","1.8174","0.6823","1.9344","1.9243","2.0552","1.7229","1.7139","1.8305","0.6468"
"392-Cleveland OH","261-Detroit MI","14-Metallic ores","1-Truck","3.9979","4.9358","0.7217","3.8318","4.7307","0.6918","6.238","6.1694","6.5928","7.7015","7.6168","8.1396","1.1262"
"392-Cleveland OH","319-Rest of NE","14-Metallic ores","1-Truck","0.243","2.9477","0.2478","0.2329","2.8252","0.2375","0.3052","0.3021","0.3208","3.7019","3.6649","3.8909","0.3112"
"392-Cleveland OH","373-Raleigh-Durham NC","14-Metallic ores","1-Truck","1.8488","1.535","1.0174","1.772","1.4712","0.9751","1.1887","1.1833","1.2532","0.9869","0.9824","1.0405","0.6541"
"392-Cleveland OH","392-Cleveland OH","14-Metallic ores","1-Truck","5.9932","20.2084","0.2746","5.7442","19.3686","0.2632","8.4157","8.3432","9.0517","28.3768","28.1322","30.5211","0.3856"
"392-Cleveland OH","392-Cleveland OH","15-Coal","1-Truck","441.6709","15.6026","11.913","216.8831","7.6617","5.8499","272.4654","269.8984","299.0425","9.6252","9.5345","10.5641","7.3491"
"392-Cleveland OH","399-Rest of OH","14-Metallic ores","1-Truck","12.0339","40.9582","1.5898","11.5338","39.2561","1.5238","11.5642","11.4666","12.5132","39.3597","39.0276","42.5897","1.5278"
"392-Cleveland OH","399-Rest of OH","15-Coal","1-Truck","636.2372","21.6243","61.8377","312.4251","10.6186","30.3655","381.1508","377.744","418.5459","12.9545","12.8387","14.2255","37.0451"
"392-Cleveland OH","422-Pittsburgh PA-OH-WV (PA Part)","14-Metallic ores","1-Truck","0.0577","1.4311","0.0084","0.0553","1.3717","0.008","0.0902","0.0892","0.0979","2.2394","2.2131","2.4294","0.0131"
"392-Cleveland OH","429-Rest of PA","14-Metallic ores","1-Truck","0.0164","1.2554","0.0045","0.0157","1.2033","0.0043","0.018","0.0178","0.0197","1.3821","1.3649","1.5073","0.005"
"392-Cleveland OH","472-Nashville TN","14-Metallic ores","1-Truck","1.4942","4.6136","0.8093","1.4322","4.4219","0.7757","1.9958","1.9688","2.1214","6.1622","6.0788","6.5499","1.081"
"392-Cleveland OH","482-Beaumont TX","14-Metallic ores","1-Truck","0.0001","0.0109","0.0001","0.0001","0.0105","0.0001","0.0001","0.0001","0.0001","0.0129","0.0118","0.014","0.0001"
"392-Cleveland OH","489-Rest of TX","14-Metallic ores","1-Truck","6.0989","8.3843","7.7931","5.8454","8.0359","7.4692","9.4262","8.3587","10.4021","12.9586","11.491","14.3001","12.0448"
"392-Cleveland OH","559-Rest of WI","14-Metallic ores","1-Truck","0.668","5.8849","0.3911","0.6402","5.6404","0.3749","0.7013","0.6938","0.7422","6.1782","6.1121","6.539","0.4106"
"393-Columbus OH","399-Rest of OH","15-Coal","2-Rail","2654.5337","135.0636","422.6016","1303.5122","66.3232","207.519","1613.9841","1599.5581","1771.1668","82.1201","81.3861","90.1176","256.9461"
"394-Dayton OH","394-Dayton OH","14-Metallic ores","1-Truck","0.0058","0.7721","0.0002","0.0056","0.74","0.0002","0.0048","0.0047","0.0052","0.6335","0.6278","0.6895","0.0001"
"394-Dayton OH","399-Rest of OH","14-Metallic ores","1-Truck","0.0066","1.0351","0.001","0.0063","0.992","0.0009","0.0061","0.0061","0.0067","0.9637","0.9555","1.0489","0.0009"
"399-Rest of OH","061-Los Angeles CA","14-Metallic ores","1-Truck","10.2642","239.7592","23.394","9.8376","229.7959","22.4218","19.3782","18.9616","21.9132","452.6539","442.9213","511.8671","44.1667"
"399-Rest of OH","189-Rest of IN","14-Metallic ores","1-Truck","0.0004","0.0021","0.0001","0.0004","0.002","0.0001","0.0003","0.0003","0.0004","0.0019","0.0019","0.0021","0.0001"
"399-Rest of OH","242-Washington DC-VA-MD-WV (MD Part)","15-Coal","2-Rail","575.8169","24.2677","271.4714","282.7556","11.9167","133.3064","267.8254","266.6173","285.4499","11.2875","11.2366","12.0303","126.2674"
"399-Rest of OH","259-Rest of MA","14-Metallic ores","1-Truck","0.1801","3.5228","0.1217","0.1727","3.3764","0.1167","0.1595","0.1579","0.1672","3.1193","3.0881","3.269","0.1078"
"399-Rest of OH","261-Detroit MI","14-Metallic ores","1-Truck","0.3748","0.0798","0.0595","0.3593","0.0764","0.0571","0.5849","0.5784","0.6219","0.1245","0.1231","0.1323","0.0929"
"399-Rest of OH","269-Rest of MI","15-Coal","1-Truck","9.323","0.7706","3.0989","4.5781","0.3784","1.5217","5.3903","5.3046","5.8212","0.4456","0.4385","0.4812","1.7917"
"399-Rest of OH","299-Rest of MO","14-Metallic ores","1-Truck","0.1251","0.2891","0.0788","0.1199","0.2771","0.0755","0.1757","0.1742","0.1884","0.4059","0.4024","0.4352","0.1106"
"399-Rest of OH","362-Buffalo NY  CFS Area","14-Metallic ores","1-Truck","0.201","8.1615","0.0577","0.1926","7.8223","0.0553","0.1537","0.1524","0.1629","6.243","6.1868","6.6167","0.0441"
"399-Rest of OH","364-Rochester NY","14-Metallic ores","1-Truck","1.0479","24.0103","0.3812","1.0044","23.0125","0.3654","1.1001","1.0882","1.1736","25.2064","24.9319","26.8884","0.4002"
"399-Rest of OH","371-Charlotte NC-SC (NC Part)","14-Metallic ores","1-Truck","1.5523","15.8916","0.8081","1.4878","15.2312","0.7746","2.7711","2.7501","2.9411","28.3694","28.155","30.1104","1.4427"
"399-Rest of OH","392-Cleveland OH","14-Metallic ores","1-Truck","114.7169","35.4435","13.9675","109.9498","33.9707","13.3871","161.0864","159.6978","174.3055","49.7701","49.3411","53.8543","19.6133"
"399-Rest of OH","392-Cleveland OH","15-Coal","1-Truck","0.0341","0.0124","0.0033","0.0168","0.0061","0.0016","0.0182","0.018","0.02","0.0066","0.0065","0.0072","0.0017"
"399-Rest of OH","393-Columbus OH","14-Metallic ores","1-Truck","0.0629","1.6429","0.0091","0.0603","1.5746","0.0087","0.0948","0.094","0.1032","2.4755","2.4556","2.6955","0.0137"
"399-Rest of OH","399-Rest of OH","14-Metallic ores","1-Truck","0.0042","0.1351","0.0006","0.004","0.1295","0.0006","0.004","0.004","0.0044","0.1298","0.1287","0.1413","0.0006"
"399-Rest of OH","399-Rest of OH","15-Coal","1-Truck","1134.2042","33.7486","58.6608","556.9524","16.5723","28.8055","586.0514","580.8133","643.8827","17.4381","17.2823","19.1589","30.3105"
"399-Rest of OH","399-Rest of OH","15-Coal","3-Water","9069.6145","363.618","5839.4232","4453.6459","178.5551","2867.4563","4686.3354","4644.4484","5148.7802","187.884","186.2047","206.4243","3017.2722"
"399-Rest of OH","401-Oklahoma City OK","14-Metallic ores","1-Truck","0.0619","4.7181","0.0616","0.0593","4.522","0.059","0.0542","0.0527","0.0593","4.1321","4.0187","4.5245","0.0539"
"399-Rest of OH","422-Pittsburgh PA-OH-WV (PA Part)","14-Metallic ores","1-Truck","4.9959","68.773","0.9733","4.7883","65.9151","0.9329","7.8174","7.7257","8.532","107.6127","106.3502","117.4502","1.523"
"399-Rest of OH","422-Pittsburgh PA-OH-WV (PA Part)","15-Coal","1-Truck","72.7443","4.3254","7.6309","35.7212","2.124","3.7472","34.4019","33.9704","37.9346","2.0455","2.0199","2.2556","3.6088"
"399-Rest of OH","422-Pittsburgh PA-OH-WV (PA Part)","15-Coal","3-Water","2788.3959","103.0412","1329.7819","1369.2454","50.5985","652.9911","1318.6765","1302.1359","1454.0897","48.7298","48.1186","53.7338","628.8749"
"399-Rest of OH","429-Rest of PA","14-Metallic ores","1-Truck","0.0527","0.1748","0.0174","0.0505","0.1676","0.0167","0.058","0.0573","0.0637","0.1925","0.1901","0.2112","0.0191"
"399-Rest of OH","429-Rest of PA","15-Coal","1-Truck","0.3138","0.2278","0.079","0.1541","0.1118","0.0388","0.1215","0.12","0.1342","0.0882","0.0871","0.0974","0.0306"
"399-Rest of OH","486-Houston TX","14-Metallic ores","1-Truck","0.1756","14.6521","0.2195","0.1683","14.0432","0.2104","0.1709","0.1542","0.1876","14.2579","12.8684","15.6525","0.2136"
"399-Rest of OH","519-Rest of VA","14-Metallic ores","1-Truck","1.192","35.8748","0.511","1.1424","34.384","0.4898","1.5918","1.5769","1.7221","47.9081","47.4584","51.8285","0.6824"
"399-Rest of OH","540-West Virginia","15-Coal","1-Truck","21.8244","1.1869","2.8771","10.7169","0.5828","1.4128","11.1335","10.9541","12.4263","0.6055","0.5957","0.6758","1.4677"
"399-Rest of OH","540-West Virginia","15-Coal","3-Water","4156.0204","176.6455","2241.2426","2040.8192","86.742","1100.5651","2120.1582","2085.9945","2366.3291","90.1142","88.6621","100.5773","1143.3507"
"401-Oklahoma City OK","429-Rest of PA","14-Metallic ores","1-Truck","0.0037","0.6487","0.0049","0.0035","0.6218","0.0047","0.0001","0.0001","0.0002","0.025","0.0246","0.0275","0.0002"
"402-Tulsa OK","409-Rest of OK","15-Coal","1-Truck","327.239","17.776","41.1759","164.3512","8.9277","20.68","743.6339","723.1611","821.4622","40.395","39.2829","44.6228","93.5702"
"409-Rest of OK","409-Rest of OK","15-Coal","1-Truck","348.307","17.1166","25.6917","174.9323","8.5966","12.9033","156.5366","152.227","173.5502","7.6926","7.4808","8.5287","11.5464"
"411-Portland OR-WA (OR Part)","399-Rest of OH","14-Metallic ores","1-Truck","0.0232","4.1708","0.0572","0.0222","3.9975","0.0548","0.0223","0.0221","0.0236","4.0081","3.9742","4.2415","0.055"
"411-Portland OR-WA (OR Part)","411-Portland OR-WA (OR Part)","14-Metallic ores","1-Truck","0.0221","4.0692","0.001","0.0212","3.9001","0.001","0.023","0.0224","0.0237","4.2438","4.1209","4.3659","0.0011"
"421-Philadelphia PA-NJ-DE-MD (PA Part)","182-Indianapolis IN","14-Metallic ores","1-Truck","0.3894","10.5684","0.2669","0.3732","10.1292","0.2558","0.6349","0.6306","0.6745","17.2315","17.1163","18.3059","0.4352"
"421-Philadelphia PA-NJ-DE-MD (PA Part)","341-New York NY-NJ-CT-PA (NJ Part)","14-Metallic ores","1-Truck","0.0518","0.719","0.0044","0.0496","0.6892","0.0043","0.0578","0.0575","0.0614","0.8027","0.7989","0.8528","0.005"
"421-Philadelphia PA-NJ-DE-MD (PA Part)","342-Philadelphia PA-NJ-DE-MD (NJ Part)","14-Metallic ores","1-Truck","1.0086","14.0213","0.0611","0.9667","13.4386","0.0586","0.7676","0.7618","0.8167","10.6703","10.5908","11.3529","0.0465"
"421-Philadelphia PA-NJ-DE-MD (PA Part)","399-Rest of OH","14-Metallic ores","1-Truck","0.0086","1.4165","0.004","0.0082","1.3577","0.0038","0.0082","0.0082","0.009","1.3612","1.3498","1.4803","0.0038"
"421-Philadelphia PA-NJ-DE-MD (PA Part)","421-Philadelphia PA-NJ-DE-MD (PA Part)","14-Metallic ores","1-Truck","0.023","0.9166","0.0009","0.0221","0.8785","0.0008","0.0242","0.0239","0.0263","0.9644","0.9533","1.0476","0.0009"
"421-Philadelphia PA-NJ-DE-MD (PA Part)","540-West Virginia","14-Metallic ores","1-Truck","0.2248","0.0509","0.0873","0.2155","0.0488","0.0836","0.3739","0.3679","0.4149","0.0847","0.0833","0.0939","0.1451"
"422-Pittsburgh PA-OH-WV (PA Part)","011-Birmingham AL","14-Metallic ores","1-Truck","0.9983","0.1248","0.7629","0.9568","0.1196","0.7312","0.7691","0.7627","0.8266","0.0962","0.0954","0.1034","0.5878"
"422-Pittsburgh PA-OH-WV (PA Part)","012-Mobile AL","14-Metallic ores","1-Truck","0.656","0.046","0.6606","0.6288","0.0441","0.6332","0.4179","0.4137","0.4469","0.0293","0.029","0.0314","0.4208"
"422-Pittsburgh PA-OH-WV (PA Part)","019-Rest of AL","14-Metallic ores","1-Truck","1.0001","0.9985","0.7948","0.9586","0.957","0.7617","0.8907","0.8835","0.9541","0.8893","0.8821","0.9526","0.7078"
"422-Pittsburgh PA-OH-WV (PA Part)","050-Arkansas","14-Metallic ores","1-Truck","0.1205","1.0194","0.111","0.1155","0.977","0.1064","0.2498","0.2404","0.2829","2.1136","2.0346","2.3936","0.2301"
"422-Pittsburgh PA-OH-WV (PA Part)","061-Los Angeles CA","14-Metallic ores","1-Truck","0.0016","0.0151","0.0039","0.0015","0.0145","0.0037","0.0021","0.0021","0.0024","0.0203","0.0198","0.023","0.0052"
"422-Pittsburgh PA-OH-WV (PA Part)","064-San Francisco CA","14-Metallic ores","1-Truck","0.9437","0.0193","2.5113","0.9045","0.0185","2.407","1.0677","1.0487","1.2203","0.0219","0.0215","0.025","2.8413"
"422-Pittsburgh PA-OH-WV (PA Part)","081-Denver CO","14-Metallic ores","1-Truck","0.0002","0.0004","0.0003","0.0002","0.0003","0.0003","0.0002","0.0001","0.0002","0.0003","0.0003","0.0003","0.0002"
"422-Pittsburgh PA-OH-WV (PA Part)","139-Rest of GA","14-Metallic ores","1-Truck","0","0.0001","0","0","0.0001","0","0","0","0","0.0001","0.0001","0.0001","0"
"422-Pittsburgh PA-OH-WV (PA Part)","171-Chicago IL-IN-WI (IL Part)","14-Metallic ores","1-Truck","0.0364","0.038","0.0199","0.0349","0.0364","0.0191","0.043","0.0423","0.0463","0.0449","0.0441","0.0483","0.0235"
"422-Pittsburgh PA-OH-WV (PA Part)","179-Rest of IL","14-Metallic ores","1-Truck","0.9974","0.9952","0.5885","0.956","0.9539","0.5641","0.8092","0.7965","0.8732","0.8074","0.7948","0.8713","0.4775"
"422-Pittsburgh PA-OH-WV (PA Part)","181-Chicago IL-IN-WI (IN Part)","14-Metallic ores","1-Truck","10.006","22.9683","4.7068","9.5902","22.0139","4.5112","11.3709","11.2684","11.9742","26.1016","25.8663","27.4864","5.3489"
"422-Pittsburgh PA-OH-WV (PA Part)","182-Indianapolis IN","14-Metallic ores","1-Truck","0.0443","4.9351","0.0171","0.0425","4.73","0.0164","0.0513","0.051","0.0547","5.7144","5.6762","6.0929","0.0198"
"422-Pittsburgh PA-OH-WV (PA Part)","183-Fort Wayne IN","14-Metallic ores","1-Truck","1.0086","2.985","0.347","0.9667","2.861","0.3326","0.9292","0.9226","0.986","2.75","2.7305","2.9184","0.3197"
"422-Pittsburgh PA-OH-WV (PA Part)","189-Rest of IN","14-Metallic ores","1-Truck","0.9963","0.1252","0.4206","0.9549","0.12","0.4031","0.6429","0.6395","0.6889","0.0808","0.0804","0.0866","0.2714"
"422-Pittsburgh PA-OH-WV (PA Part)","219-Rest of KY","14-Metallic ores","1-Truck","4.991","2.0047","2.0688","4.7836","1.9214","1.9828","4.3665","4.2179","4.7532","1.7538","1.6942","1.9092","1.8099"
"422-Pittsburgh PA-OH-WV (PA Part)","261-Detroit MI","14-Metallic ores","1-Truck","1.9949","3.9603","0.623","1.912","3.7957","0.5971","2.6025","2.5738","2.7743","5.1664","5.1095","5.5074","0.8127"
"422-Pittsburgh PA-OH-WV (PA Part)","271-Minneapolis-St. Paul MN-WI (MN Part)","14-Metallic ores","1-Truck","0.0749","0.0052","0.0771","0.0718","0.005","0.0739","0.0706","0.0695","0.0754","0.0049","0.0048","0.0052","0.0727"
"422-Pittsburgh PA-OH-WV (PA Part)","291-Kansas City MO-KS (MO Part)","14-Metallic ores","1-Truck","0","0.0001","0","0","0.0001","0","0","0","0","0.0001","0.0001","0.0001","0"
"422-Pittsburgh PA-OH-WV (PA Part)","341-New York NY-NJ-CT-PA (NJ Part)","14-Metallic ores","1-Truck","1.0006","0.125","0.3595","0.959","0.1198","0.3446","0.7933","0.7895","0.8459","0.0991","0.0986","0.1056","0.285"
"422-Pittsburgh PA-OH-WV (PA Part)","371-Charlotte NC-SC (NC Part)","14-Metallic ores","1-Truck","0.022","0.005","0.01","0.0211","0.0048","0.0096","0.028","0.0277","0.0297","0.0064","0.0063","0.0068","0.0127"
